hostClock,week,towMS,towSubMS,qErr,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
2025-10-06 07:16:50.786567,2387,336881000,0.0,-1095,1,1,1,0,0,15,3
2025-10-06 07:16:51.786557,2387,336882000,0.0,319,1,1,1,0,0,15,3
2025-10-06 07:16:52.786556,2387,336883000,0.0,-2762,1,1,1,0,0,15,3
2025-10-06 07:16:53.786566,2387,336884000,0.0,759,1,1,1,0,0,15,3
2025-10-06 07:16:54.785571,2387,336885000,0.0,-2312,1,1,1,0,0,15,3
2025-10-06 07:16:55.786585,2387,336886000,0.0,-3383,1,1,1,0,0,15,3
2025-10-06 07:16:56.786598,2387,336887000,0.0,1211,1,1,1,0,0,15,3
2025-10-06 07:16:57.786610,2387,336888000,0.0,-1531,1,1,1,0,0,15,3
2025-10-06 07:16:58.786639,2387,336889000,0.0,197,1,1,1,0,0,15,3
2025-10-06 07:16:59.788636,2387,336890000,0.0,3417,1,1,1,0,0,15,3
2025-10-06 07:17:00.787657,2387,336891000,0.0,-1225,1,1,1,0,0,15,3
2025-10-06 07:17:01.786807,2387,336892000,0.0,228,1,1,1,0,0,15,3
2025-10-06 07:17:02.787681,2387,336893000,0.0,2052,1,1,1,0,0,15,3
2025-10-06 07:17:11.787911,2387,336902000,0.0,-2723,1,1,1,0,0,15,3
2025-10-06 07:17:12.785909,2387,336903000,0.0,-2988,1,1,1,0,0,15,3
2025-10-06 07:17:13.786906,2387,336904000,0.0,-642,1,1,1,0,0,15,3
2025-10-06 07:17:14.786916,2387,336905000,0.0,-2604,1,1,1,0,0,15,3
2025-10-06 07:17:15.786025,2387,336906000,0.0,-3383,1,1,1,0,0,15,3
2025-10-06 07:18:37.786228,2387,336988000,0.0,-1034,1,1,1,0,0,15,3
2025-10-06 07:21:32.783955,2387,337163000,0.0,-361,1,1,1,0,0,15,3
2025-10-06 07:21:33.783956,2387,337164000,0.0,206,1,1,1,0,0,15,3
2025-10-06 07:21:34.783968,2387,337165000,0.0,2205,1,1,1,0,0,15,3
2025-10-06 07:21:35.784058,2387,337166000,0.0,-3116,1,1,1,0,0,15,3
2025-10-06 07:21:36.785996,2387,337167000,0.0,-1103,1,1,1,0,0,15,3
2025-10-06 07:21:37.783059,2387,337168000,0.0,-361,1,1,1,0,0,15,3
2025-10-06 07:21:38.783990,2387,337169000,0.0,733,1,1,1,0,0,15,3
2025-10-06 07:21:39.785027,2387,337170000,0.0,-3417,1,1,1,0,0,15,3
2025-10-06 07:21:40.784036,2387,337171000,0.0,842,1,1,1,0,0,15,3
2025-10-06 07:21:41.784042,2387,337172000,0.0,-2836,1,1,1,0,0,15,3
2025-10-06 07:21:42.784038,2387,337173000,0.0,1810,1,1,1,0,0,15,3
2025-10-06 07:21:43.784146,2387,337174000,0.0,-1025,1,1,1,0,0,15,3
2025-10-06 07:21:44.783099,2387,337175000,0.0,1274,1,1,1,0,0,15,3
2025-10-06 07:28:20.781298,2387,337571000,0.0,-782,1,1,1,0,0,15,3
2025-10-06 07:28:21.781322,2387,337572000,0.0,3118,1,1,1,0,0,15,3
2025-10-06 07:28:22.781315,2387,337573000,0.0,-837,1,1,1,0,0,15,3
2025-10-06 07:28:23.780303,2387,337574000,0.0,3704,1,1,1,0,0,15,3
2025-10-06 07:28:24.780408,2387,337575000,0.0,-1523,1,1,1,0,0,15,3
2025-10-06 07:28:25.781345,2387,337576000,0.0,547,1,1,1,0,0,15,3
2025-10-06 07:28:26.779395,2387,337577000,0.0,1886,1,1,1,0,0,15,3
2025-10-06 07:28:27.781343,2387,337578000,0.0,-1589,1,1,1,0,0,15,3
2025-10-06 07:28:28.781317,2387,337579000,0.0,-1506,1,1,1,0,0,15,3
2025-10-06 07:28:29.782329,2387,337580000,0.0,261,1,1,1,0,0,15,3
2025-10-06 07:28:30.780367,2387,337581000,0.0,-67,1,1,1,0,0,15,3
2025-10-06 07:28:31.781420,2387,337582000,0.0,439,1,1,1,0,0,15,3
2025-10-06 07:28:32.779483,2387,337583000,0.0,1572,1,1,1,0,0,15,3
2025-10-06 07:28:33.780583,2387,337584000,0.0,-3689,1,1,1,0,0,15,3
2025-10-06 12:50:44.618061,2387,356915000,0.0,-2717,1,1,1,0,0,15,3
2025-10-06 12:50:45.618051,2387,356916000,0.0,1121,1,1,1,0,0,15,3
2025-10-06 12:50:46.620104,2387,356917000,0.0,-672,1,1,1,0,0,15,3
2025-10-06 12:50:47.618109,2387,356918000,0.0,-1964,1,1,1,0,0,15,3
2025-10-06 12:50:48.619098,2387,356919000,0.0,-3913,1,1,1,0,0,15,3
2025-10-06 12:50:49.620095,2387,356920000,0.0,1995,1,1,1,0,0,15,3
2025-10-06 12:50:50.620042,2387,356921000,0.0,-125,1,1,1,0,0,15,3
2025-10-06 12:50:51.618048,2387,356922000,0.0,-1714,1,1,1,0,0,15,3
2025-10-06 12:50:52.619058,2387,356923000,0.0,-3342,1,1,1,0,0,15,3
2025-10-06 12:50:53.618124,2387,356924000,0.0,3428,1,1,1,0,0,15,3
2025-10-06 12:50:54.617143,2387,356925000,0.0,3230,1,1,1,0,0,15,3
2025-10-06 12:50:55.620121,2387,356926000,0.0,2279,1,1,1,0,0,15,3
2025-10-06 12:50:56.617148,2387,356927000,0.0,1367,1,1,1,0,0,15,3
2025-10-06 12:50:57.618194,2387,356928000,0.0,1422,1,1,1,0,0,15,3
2025-10-06 12:50:58.619147,2387,356929000,0.0,1178,1,1,1,0,0,15,3
2025-10-06 12:50:59.618246,2387,356930000,0.0,1916,1,1,1,0,0,15,3
2025-10-06 12:51:00.619221,2387,356931000,0.0,2405,1,1,1,0,0,15,3
2025-10-06 12:51:01.618291,2387,356932000,0.0,2972,1,1,1,0,0,15,3
2025-10-06 12:51:02.618220,2387,356933000,0.0,3013,1,1,1,0,0,15,3
2025-10-06 12:51:03.618237,2387,356934000,0.0,3151,1,1,1,0,0,15,3
2025-10-06 12:51:04.619188,2387,356935000,0.0,-3899,1,1,1,0,0,15,3
2025-10-06 12:51:05.618275,2387,356936000,0.0,-3120,1,1,1,0,0,15,3
2025-10-06 12:51:06.617277,2387,356937000,0.0,-2615,1,1,1,0,0,15,3
2025-10-06 12:51:07.618306,2387,356938000,0.0,-1803,1,1,1,0,0,15,3
2025-10-06 12:51:08.618432,2387,356939000,0.0,-1070,1,1,1,0,0,15,3
2025-10-06 12:51:09.617412,2387,356940000,0.0,164,1,1,1,0,0,15,3
2025-10-06 12:51:10.619386,2387,356941000,0.0,1168,1,1,1,0,0,15,3
2025-10-06 12:51:11.618327,2387,356942000,0.0,2476,1,1,1,0,0,15,3
2025-10-06 12:51:12.617494,2387,356943000,0.0,-3843,1,1,1,0,0,15,3
2025-10-06 12:51:13.618348,2387,356944000,0.0,-2476,1,1,1,0,0,15,3
2025-10-06 12:51:14.618328,2387,356945000,0.0,-513,1,1,1,0,0,15,3
2025-10-06 12:51:15.618346,2387,356946000,0.0,1243,1,1,1,0,0,15,3
2025-10-06 12:51:16.619392,2387,356947000,0.0,3676,1,1,1,0,0,15,3
2025-10-06 12:51:17.617429,2387,356948000,0.0,-1790,1,1,1,0,0,15,3
2025-10-06 12:51:18.619428,2387,356949000,0.0,56,1,1,1,0,0,15,3
2025-10-06 12:51:19.619610,2387,356950000,0.0,2162,1,1,1,0,0,15,3
2025-10-06 12:51:20.618554,2387,356951000,0.0,-2713,1,1,1,0,0,15,3
2025-10-06 12:51:21.619640,2387,356952000,0.0,-77,1,1,1,0,0,15,3
2025-10-06 12:51:22.618545,2387,356953000,0.0,2994,1,1,1,0,0,15,3
2025-10-06 12:51:23.618527,2387,356954000,0.0,-2245,1,1,1,0,0,15,3
2025-10-06 12:51:24.617540,2387,356955000,0.0,581,1,1,1,0,0,15,3
2025-10-06 12:51:25.617653,2387,356956000,0.0,-3879,1,1,1,0,0,15,3
2025-10-06 12:51:26.617643,2387,356957000,0.0,-784,1,1,1,0,0,15,3
2025-10-06 12:51:27.616668,2387,356958000,0.0,3006,1,1,1,0,0,15,3
2025-10-06 12:51:28.618604,2387,356959000,0.0,-1156,1,1,1,0,0,15,3
2025-10-06 12:51:29.617637,2387,356960000,0.0,2792,1,1,1,0,0,15,3
2025-10-06 12:51:30.618656,2387,356961000,0.0,-1570,1,1,1,0,0,15,3
2025-10-06 12:51:31.618731,2387,356962000,0.0,2425,1,1,1,0,0,15,3
2025-10-06 12:51:32.619765,2387,356963000,0.0,-1199,1,1,1,0,0,15,3
2025-10-06 12:51:33.616692,2387,356964000,0.0,2816,1,1,1,0,0,15,3
2025-10-06 12:51:34.618695,2387,356965000,0.0,-201,1,1,1,0,0,15,3
2025-10-06 12:51:35.618737,2387,356966000,0.0,-3742,1,1,1,0,0,15,3
2025-10-06 12:51:36.616772,2387,356967000,0.0,642,1,1,1,0,0,15,3
2025-10-06 12:51:37.617828,2387,356968000,0.0,-2908,1,1,1,0,0,15,3
2025-10-06 12:51:38.617758,2387,356969000,0.0,2104,1,1,1,0,0,15,3
2025-10-06 12:51:39.617793,2387,356970000,0.0,-1158,1,1,1,0,0,15,3
2025-10-06 12:51:40.618820,2387,356971000,0.0,-3766,1,1,1,0,0,15,3
2025-10-06 12:51:41.617838,2387,356972000,0.0,1215,1,1,1,0,0,15,3
2025-10-06 12:51:42.618854,2387,356973000,0.0,-1222,1,1,1,0,0,15,3
2025-10-06 12:51:43.618847,2387,356974000,0.0,-3729,1,1,1,0,0,15,3
2025-10-06 12:51:44.619854,2387,356975000,0.0,-3645,1,1,1,0,0,15,3
2025-10-06 12:51:45.617901,2387,356976000,0.0,2619,1,1,1,0,0,15,3
2025-10-06 12:51:46.618937,2387,356977000,0.0,962,1,1,1,0,0,15,3
2025-10-06 12:51:47.618047,2387,356978000,0.0,-1094,1,1,1,0,0,15,3
2025-10-06 12:51:48.616909,2387,356979000,0.0,-3275,1,1,1,0,0,15,3
2025-10-06 12:51:49.617939,2387,356980000,0.0,3127,1,1,1,0,0,15,3
2025-10-06 12:51:50.616945,2387,356981000,0.0,2032,1,1,1,0,0,15,3
2025-10-06 12:51:51.617943,2387,356982000,0.0,8,1,1,1,0,0,15,3
2025-10-06 12:51:52.616964,2387,356983000,0.0,-1596,1,1,1,0,0,15,3
2025-10-06 12:51:53.616976,2387,356984000,0.0,-2636,1,1,1,0,0,15,3
2025-10-06 12:51:54.616968,2387,356985000,0.0,3719,1,1,1,0,0,15,3
2025-10-06 12:51:55.617961,2387,356986000,0.0,2947,1,1,1,0,0,15,3
2025-10-06 12:51:56.616977,2387,356987000,0.0,2061,1,1,1,0,0,15,3
2025-10-06 12:51:57.617998,2387,356988000,0.0,1144,1,1,1,0,0,15,3
2025-10-06 12:51:58.617040,2387,356989000,0.0,897,1,1,1,0,0,15,3
2025-10-06 12:51:59.618995,2387,356990000,0.0,213,1,1,1,0,0,15,3
2025-10-06 12:52:00.616167,2387,356991000,0.0,187,1,1,1,0,0,15,3
2025-10-06 12:52:01.617271,2387,356992000,0.0,4,1,1,1,0,0,15,3
2025-10-06 12:52:02.618201,2387,356993000,0.0,216,1,1,1,0,0,15,3
2025-10-06 12:52:03.617203,2387,356994000,0.0,310,1,1,1,0,0,15,3
2025-10-06 12:52:04.618190,2387,356995000,0.0,48,1,1,1,0,0,15,3
2025-10-06 12:52:05.618191,2387,356996000,0.0,754,1,1,1,0,0,15,3
2025-10-06 12:52:06.616327,2387,356997000,0.0,1287,1,1,1,0,0,15,3
2025-10-06 12:52:07.617227,2387,356998000,0.0,1808,1,1,1,0,0,15,3
2025-10-06 12:52:08.617236,2387,356999000,0.0,2651,1,1,1,0,0,15,3
2025-10-06 12:52:09.617233,2387,357000000,0.0,3460,1,1,1,0,0,15,3
2025-10-06 12:52:10.617336,2387,357001000,0.0,-3271,1,1,1,0,0,15,3
2025-10-06 12:52:11.616377,2387,357002000,0.0,-1966,1,1,1,0,0,15,3
2025-10-06 12:52:12.617324,2387,357003000,0.0,-278,1,1,1,0,0,15,3
2025-10-06 12:52:13.617332,2387,357004000,0.0,924,1,1,1,0,0,15,3
2025-10-06 12:52:14.617316,2387,357005000,0.0,2784,1,1,1,0,0,15,3
2025-10-06 12:52:15.616486,2387,357006000,0.0,-3333,1,1,1,0,0,15,3
2025-10-06 12:52:16.617382,2387,357007000,0.0,-1301,1,1,1,0,0,15,3
2025-10-06 12:52:17.617381,2387,357008000,0.0,1036,1,1,1,0,0,15,3
2025-10-06 12:52:18.617395,2387,357009000,0.0,3189,1,1,1,0,0,15,3
2025-10-06 12:52:19.617428,2387,357010000,0.0,-2151,1,1,1,0,0,15,3
2025-10-06 12:52:20.616507,2387,357011000,0.0,1032,1,1,1,0,0,15,3
2025-10-06 12:52:21.616450,2387,357012000,0.0,-3819,1,1,1,0,0,15,3
2025-10-06 12:52:22.616572,2387,357013000,0.0,-671,1,1,1,0,0,15,3
2025-10-06 12:52:23.617460,2387,357014000,0.0,2882,1,1,1,0,0,15,3
2025-10-06 12:52:24.617499,2387,357015000,0.0,-1624,1,1,1,0,0,15,3
2025-10-06 12:52:25.618515,2387,357016000,0.0,-1377,1,1,1,0,0,15,3
2025-10-06 12:52:26.617587,2387,357017000,0.0,2191,1,1,1,0,0,15,3
2025-10-06 12:52:27.616542,2387,357018000,0.0,-1896,1,1,1,0,0,15,3
2025-10-06 12:52:28.617558,2387,357019000,0.0,2355,1,1,1,0,0,15,3
2025-10-06 12:52:29.616569,2387,357020000,0.0,-1979,1,1,1,0,0,15,3
2025-10-06 12:52:30.616564,2387,357021000,0.0,1934,1,1,1,0,0,15,3
2025-10-06 12:52:31.618564,2387,357022000,0.0,-1931,1,1,1,0,0,15,3
2025-10-06 12:52:32.617585,2387,357023000,0.0,1743,1,1,1,0,0,15,3
2025-10-06 12:52:33.617587,2387,357024000,0.0,-1534,1,1,1,0,0,15,3
2025-10-06 12:52:34.617603,2387,357025000,0.0,2802,1,1,1,0,0,15,3
2025-10-06 12:52:35.617583,2387,357026000,0.0,-1029,1,1,1,0,0,15,3
2025-10-06 12:52:36.617606,2387,357027000,0.0,3388,1,1,1,0,0,15,3
2025-10-06 12:52:37.617617,2387,357028000,0.0,-74,1,1,1,0,0,15,3
2025-10-06 12:52:38.617633,2387,357029000,0.0,-3625,1,1,1,0,0,15,3
2025-10-06 12:52:39.616831,2387,357030000,0.0,1093,1,1,1,0,0,15,3
2025-10-06 12:52:40.618641,2387,357031000,0.0,-2116,1,1,1,0,0,15,3
2025-10-06 12:52:41.618662,2387,357032000,0.0,2690,1,1,1,0,0,15,3
2025-10-06 12:52:42.617843,2387,357033000,0.0,-47,1,1,1,0,0,15,3
2025-10-06 12:52:43.617832,2387,357034000,0.0,-2337,1,1,1,0,0,15,3
2025-10-06 12:52:44.619786,2387,357035000,0.0,2516,1,1,1,0,0,15,3
2025-10-06 12:52:45.617783,2387,357036000,0.0,381,1,1,1,0,0,15,3
2025-10-06 12:52:46.617844,2387,357037000,0.0,-2179,1,1,1,0,0,15,3
2025-10-06 12:52:47.615964,2387,357038000,0.0,3659,1,1,1,0,0,15,3
2025-10-06 12:52:48.615939,2387,357039000,0.0,2190,1,1,1,0,0,15,3
2025-10-06 12:52:49.616894,2387,357040000,0.0,890,1,1,1,0,0,15,3
2025-10-06 12:52:50.617920,2387,357041000,0.0,-471,1,1,1,0,0,15,3
2025-10-06 12:52:51.616975,2387,357042000,0.0,-1127,1,1,1,0,0,15,3
2025-10-06 12:52:52.616939,2387,357043000,0.0,-2245,1,1,1,0,0,15,3
2025-10-06 12:52:53.616959,2387,357044000,0.0,-3261,1,1,1,0,0,15,3
2025-10-06 12:52:54.617016,2387,357045000,0.0,3705,1,1,1,0,0,15,3
2025-10-06 12:52:55.617994,2387,357046000,0.0,3018,1,1,1,0,0,15,3
2025-10-06 12:52:56.615988,2387,357047000,0.0,2788,1,1,1,0,0,15,3
2025-10-06 12:52:57.617010,2387,357048000,0.0,2693,1,1,1,0,0,15,3
2025-10-06 12:52:58.618015,2387,357049000,0.0,2555,1,1,1,0,0,15,3
2025-10-06 12:52:59.616113,2387,357050000,0.0,2673,1,1,1,0,0,15,3
2025-10-06 12:53:00.618114,2387,357051000,0.0,3106,1,1,1,0,0,15,3
2025-10-06 12:53:01.618085,2387,357052000,0.0,3588,1,1,1,0,0,15,3
2025-10-06 12:53:02.616100,2387,357053000,0.0,-3919,1,1,1,0,0,15,3
2025-10-06 12:53:03.617111,2387,357054000,0.0,-3657,1,1,1,0,0,15,3
2025-10-06 12:53:04.618135,2387,357055000,0.0,-3193,1,1,1,0,0,15,3
2025-10-06 12:53:05.616149,2387,357056000,0.0,-2945,1,1,1,0,0,15,3
2025-10-06 12:53:06.618139,2387,357057000,0.0,-1929,1,1,1,0,0,15,3
2025-10-06 12:53:07.616176,2387,357058000,0.0,-1076,1,1,1,0,0,15,3
2025-10-06 12:53:08.617204,2387,357059000,0.0,-310,1,1,1,0,0,15,3
2025-10-06 12:53:09.617183,2387,357060000,0.0,725,1,1,1,0,0,15,3
2025-10-06 12:53:10.617196,2387,357061000,0.0,1668,1,1,1,0,0,15,3
2025-10-06 12:53:11.616200,2387,357062000,0.0,3263,1,1,1,0,0,15,3
2025-10-06 12:53:12.617259,2387,357063000,0.0,-2345,1,1,1,0,0,15,3
2025-10-06 12:53:13.618207,2387,357064000,0.0,-676,1,1,1,0,0,15,3
2025-10-06 12:53:14.617236,2387,357065000,0.0,1155,1,1,1,0,0,15,3
2025-10-06 12:53:15.616243,2387,357066000,0.0,3260,1,1,1,0,0,15,3
2025-10-06 12:53:16.618239,2387,357067000,0.0,-2496,1,1,1,0,0,15,3
2025-10-06 12:53:17.618250,2387,357068000,0.0,-712,1,1,1,0,0,15,3
2025-10-06 12:53:18.616263,2387,357069000,0.0,1177,1,1,1,0,0,15,3
2025-10-06 12:53:19.617397,2387,357070000,0.0,3759,1,1,1,0,0,15,3
2025-10-06 12:53:20.617384,2387,357071000,0.0,-1678,1,1,1,0,0,15,3
